Device ID,Sequence Number,Latitude,Longitude,Timestamp,UTC,HRLFC,SweetSpot,TopGear,SweetSpotPercent,Seconds,Minute,Hour,Month,Day,Year,MinuteOffset,HourOffset,TotalDistance,FuelLevel,AmberWarningLamp,RedStopLamp,MalfunctionLamp,FlashMalFunctionLamp,SPNLSB,SPN8_2ndByte,FailurMode,SPN3_MSB,OccurenceCount,CCA,CCES,CCSS,EngineSpeed,EngineStartMode,EngineOperatingHours,PowerKeyPos,AccPedalIdelSwitch,VehicleSpeed,ControlerTrimMode,EngineOilPressure,EngineCoolantTemp,AccPedalPosition,TripFuel,Live
String,Integer,Float,Float,DateTime,Integer,Float,Integer,Integer,Integer,Integer,Integer,Integer,Integer,Integer,Integer,Integer,Integer,Float,Float,Integer,Integer,Integer,Integer,Integer,Integer,Integer,Integer,Integer,Integer,Integer,Integer,Float,Integer,Float,Integer,Integer,Float,Integer,Integer,Integer,Float,Float,Integer
No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes
353351050154822,7632,10.09886,76.41557,1990-10-21 13:01:43,656514103,23809.33,0,0,0,0,0,0,0,0,0,0,0,213306.2,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6022.65,0,0,0,0,0,0,0,0,1
353351050154822,7633,11.07693415,76.76969093,1990-10-21 13:02:07,,23809.40237,0,0,0,0,0,0,0,0,0,0,0,213306.2724,36.7,0,0,0,0,0,0,0,0,0,0,0,0,494,0,6022.666667,0,0,10.42123823,0,0,0,0,0,1
353351050154822,7634,11.69888843,76.79469093,1990-10-21 13:02:31,,23809.42442,0,0,0,0,0,0,0,0,0,0,0,213306.2944,36.6,0,0,0,0,0,0,0,0,0,0,0,0,2071,0,6022.683333,0,0,3.175514768,0,0,0,0,0,1
353351050154822,7635,11.44988116,76.81969093,1990-10-21 13:02:55,,23809.44291,0,0,0,0,0,0,0,0,0,0,0,213306.3129,36.5,0,0,0,0,0,0,0,0,0,0,0,0,1804,0,6022.7,0,0,2.662244795,0,0,0,0,0,1
353351050154822,7636,11.65920554,76.84469093,1990-10-21 13:03:19,,23809.96561,0,0,0,0,0,0,0,0,0,0,0,213306.8356,36.4,0,0,0,0,0,0,0,0,0,0,0,0,1991,0,6022.716667,0,0,75.26908438,0,0,0,0,0,1
353351050154822,7637,11.78597985,76.86969093,1990-10-21 13:03:43,,23809.98807,0,0,0,0,0,0,0,0,0,0,0,213306.8581,36.3,0,0,0,0,0,0,0,0,0,0,0,0,2423,0,6022.733333,0,0,3.234327628,0,0,0,0,0,1
353351050154822,7638,11.50290678,76.89469093,1990-10-21 13:04:07,,23809.97306,0,0,0,0,0,0,0,0,0,0,0,213306.8431,36.2,0,0,0,0,0,0,0,0,0,0,0,0,1563,0,6022.75,0,0,-2.16145493,0,0,0,0,0,1
353351050154822,7639,11.65555339,76.91969093,1990-10-21 13:04:31,,23809.79627,0,0,0,0,0,0,0,0,0,0,0,213306.6663,36.1,0,0,0,0,0,0,0,0,0,0,0,0,2159,0,6022.766667,0,0,-25.4582084,0,0,0,0,0,1
